school,division,conference,state,gender
Abilene Christian,D1,UAC,Texas,W
Adams State University,D2,Rocky Mountain Athletic Conference,Colorado,M
Adams State University,D2,Rocky Mountain Athletic Conference,Colorado,W
Adelphi University,D2,Northeast-10 Conference,New York,M
Adelphi University,D2,Northeast-10 Conference,New York,W
Adrian College,D3,,Michigan,M
Adrian College,D3,,Michigan,W
Agnes Scott College,D3,,Georgia,W
Air Force,D1,Mountain West,Colorado,W
Akron,D1,MAC,Ohio,W
Alabama,D1,SEC,Alabama,W
Alabama A&M,D1,SWAC,Alabama,W
Alabama State,D1,SWAC,Alabama,W
Albany,D1,America East,New York,W
Albertus Magnus College,D3,,Connecticut,M
Albertus Magnus College,D3,,Connecticut,W
Albion College,D3,,Michigan,M
Albion College,D3,,Michigan,W
Albright College,D3,,Pennsylvania,M
Albright College,D3,,Pennsylvania,W
Alcorn State,D1,SWAC,Mississippi,W
Alfred State College,D3,,New York,M
Alfred State College,D3,,New York,W
Alfred University,D3,,New York,M
Alfred University,D3,,New York,W
Allegheny College,D3,,Pennsylvania,M
Allegheny College,D3,,Pennsylvania,W
Allen University,D2,Independent,South Carolina,W
Alma College,D3,,Michigan,M
Alma College,D3,,Michigan,W
Alvernia University,D3,,Pennsylvania,M
Alvernia University,D3,,Pennsylvania,W
Alverno College,D3,,Wisconsin,W
American,D1,Patriot,District of Columbia,W
American International College,D2,Northeast-10 Conference,Massachusetts,M
American International College,D2,Northeast-10 Conference,Massachusetts,W
American University,D1,Patriot League,District of Columbia,M
Amherst College,D3,,Massachusetts,M
Amherst College,D3,,Massachusetts,W
Anderson University,D2,South Atlantic Conference,South Carolina,M
Anderson University,D2,South Atlantic Conference,South Carolina,W
Anderson University – Indiana,D3,,Indiana,M
Anderson University – Indiana,D3,,Indiana,W
Angelo State University,D2,Lone Star Conference,Texas,W
Anna Maria College,D3,,Massachusetts,M
Anna Maria College,D3,,Massachusetts,W
Appalachian State,D1,Sun Belt,North Carolina,W
Aquinas College – Michigan,NAIA,,Michigan,M
Aquinas College – Michigan,NAIA,,Michigan,W
Arcadia University,D3,,Pennsylvania,M
Arcadia University,D3,,Pennsylvania,W
Arizona,D1,Big 12,Arizona,W
Arizona Christian University,NAIA,,Arizona,M
Arizona Christian University,NAIA,,Arizona,W
Arizona State,D1,Big 12,Arizona,W
Arkansas,D1,SEC,Arkansas,W
Arkansas State,D1,Sun Belt,Arkansas,W
Arkansas–Pine Bluff,D1,SWAC,Arkansas,W
Army,D1,Patriot,New York,W
Asbury University,D3,,Kentucky,M
Asbury University,D3,,Kentucky,W
Ashland University,D2,Great Midwest Athletic Conference,Ohio,M
Ashland University,D2,Great Midwest Athletic Conference,Ohio,W
Assumption University,D2,Northeast-10 Conference,Massachusetts,M
Assumption University,D2,Northeast-10 Conference,Massachusetts,W
Auburn,D1,SEC,Alabama,W
Auburn University at Montgomery,D2,Gulf South Conference,Alabama,M
Auburn University at Montgomery,D2,Gulf South Conference,Alabama,W
Augsburg University,D3,,Minnesota,M
Augsburg University,D3,,Minnesota,W
Augustana College – Illinois,D3,,Illinois,M
Augustana College – Illinois,D3,,Illinois,W
Augustana University,D2,Northern Sun Intercollegiate Conference,South Dakota,W
Aurora University,D3,,Illinois,M
Aurora University,D3,,Illinois,W
Austin College,D3,,Texas,M
Austin College,D3,,Texas,W
Austin Peay,D1,UAC,Tennessee,W
Ave Maria University,NAIA,,Florida,M
Ave Maria University,NAIA,,Florida,W
Averett University,D3,,Virginia,M
Averett University,D3,,Virginia,W
Avila University,NAIA,,Missouri,M
Avila University,NAIA,,Missouri,W
BYU,D1,Big 12,Utah,W
Babson College,D3,,Massachusetts,M
Babson College,D3,,Massachusetts,W
Bacone College,NAIA,,Oklahoma,M
Bacone College,NAIA,,Oklahoma,W
Baker University,NAIA,,Kansas,M
Baker University,NAIA,,Kansas,W
Baldwin Wallace University,D3,,Ohio,M
Baldwin Wallace University,D3,,Ohio,W
Ball State,D1,MAC,Indiana,W
Bard College,D3,,New York,M
Bard College,D3,,New York,W
Barry University,D2,Sunshine State Conference,Florida,M
Barry University,D2,Sunshine State Conference,Florida,W
Barton College,D2,Conference Carolinas,North Carolina,M
Barton College,D2,Conference Carolinas,North Carolina,W
Bates College,D3,,Maine,M
Bates College,D3,,Maine,W
Baylor,D1,Big 12,Texas,W
Belhaven University,D3,,Mississippi,M
Belhaven University,D3,,Mississippi,W
Bellarmine,D1,ASUN,Kentucky,W
Bellarmine University,D1,Atlantic Sun Conference,Kentucky,M
Bellevue University,NAIA,,Nebraska,M
Bellevue University,NAIA,,Nebraska,W
Belmont,D1,Missouri Valley,Tennessee,W
Belmont Abbey College,D2,Conference Carolinas,North Carolina,M
Belmont Abbey College,D2,Conference Carolinas,North Carolina,W
Belmont University,D1,Missouri Valley Conference,Tennessee,M
Beloit College,D3,,Wisconsin,M
Beloit College,D3,,Wisconsin,W
Bemidji State University,D2,Northern Sun Intercollegiate Conference,Minnesota,W
Benedictine College,NAIA,,Kansas,M
Benedictine College,NAIA,,Kansas,W
Benedictine University,D3,,Illinois,M
Benedictine University,D3,,Illinois,W
Benedictine University – Mesa,NAIA,,Arizona,M
Benedictine University – Mesa,NAIA,,Arizona,W
Bentley University,D2,Northeast-10 Conference,Massachusetts,M
Bentley University,D2,Northeast-10 Conference,Massachusetts,W
Berea College,D3,,Kentucky,M
Berea College,D3,,Kentucky,W
Berry College,D3,,Georgia,M
Berry College,D3,,Georgia,W
Bethany College – Kansas,NAIA,,Kansas,M
Bethany College – Kansas,NAIA,,Kansas,W
Bethany College – West Virginia,D3,,West Virginia,M
Bethany College – West Virginia,D3,,West Virginia,W
Bethany Lutheran College,D3,,Minnesota,M
Bethany Lutheran College,D3,,Minnesota,W
Bethel College – Kansas,NAIA,,Kansas,M
Bethel College – Kansas,NAIA,,Kansas,W
Bethel University – Indiana,NAIA,,Indiana,M
Bethel University – Indiana,NAIA,,Indiana,W
Bethel University – Minnesota,D3,,Minnesota,M
Bethel University – Minnesota,D3,,Minnesota,W
Bethel University – Tennessee,NAIA,,Tennessee,M
Bethel University – Tennessee,NAIA,,Tennessee,W
Binghamton,D1,America East,New York,W
Binghamton University,D1,America East Conference,New York,M
Biola University,D2,Pacific West Conference,California,M
Biola University,D2,Pacific West Conference,California,W
Black Hills State University,D2,Rocky Mountain Athletic Conference,South Dakota,W
Blackburn College,D3,,Illinois,M
Blackburn College,D3,,Illinois,W
Blue Mountain College,NAIA,,Mississippi,M
Blue Mountain College,NAIA,,Mississippi,W
Bluefield State University,D2,Independent,West Virginia,W
Bluefield University,NAIA,,Virginia,M
Bluefield University,NAIA,,Virginia,W
Bluffton University,D3,,Ohio,M
Bluffton University,D3,,Ohio,W
Bob Jones University,D3,,South Carolina,M
Boise State,D1,Pac-12,Idaho,W
Boston College,D1,Atlantic Coast Conference,Massachusetts,M
Boston College,D1,ACC,Massachusetts,W
Boston University,D1,Patriot League,Massachusetts,M
Boston University,D1,Patriot,Massachusetts,W
Bowdoin College,D3,,Maine,M
Bowdoin College,D3,,Maine,W
Bowling Green,D1,MAC,Ohio,W
Bowling Green State University,D1,Missouri Valley Conference,Ohio,M
Bradley University,D1,Missouri Valley Conference,Illinois,M
Brandeis University,D3,,Massachusetts,M
Brandeis University,D3,,Massachusetts,W
Brenau University,NAIA,,Georgia,W
Brescia University,NAIA,,Kentucky,M
Brescia University,NAIA,,Kentucky,W
Brevard College,D3,,North Carolina,M
Brevard College,D3,,North Carolina,W
Brewton-Parker College,NAIA,,Georgia,M
Brewton-Parker College,NAIA,,Georgia,W
Briar Cliff University,NAIA,,Iowa,M
Briar Cliff University,NAIA,,Iowa,W
Bridgewater College,D3,,Virginia,M
Bridgewater College,D3,,Virginia,W
Bridgewater State University,D3,,Massachusetts,M
Bridgewater State University,D3,,Massachusetts,W
Brown,D1,Ivy League,Rhode Island,W
Brown University,D1,Ivy League,Rhode Island,M
Bryan College – Tennessee,NAIA,,Tennessee,M
Bryan College – Tennessee,NAIA,,Tennessee,W
Bryant,D1,America East,Rhode Island,W
Bryant University,D1,America East Conference,Rhode Island,M
Bryn Athyn College,D3,,Pennsylvania,M
Bryn Athyn College,D3,,Pennsylvania,W
Bryn Mawr College,D3,,Pennsylvania,W
Bucknell,D1,Patriot,Pennsylvania,W
Bucknell University,D1,Patriot League,Pennsylvania,M
Buena Vista University,D3,,Iowa,M
Buena Vista University,D3,,Iowa,W
Buffalo,D1,MAC,New York,W
Bushnell University,NAIA,,Oregon,M
