school,division,gender,jersey,name,position,class_year,height_in,hometown,major,club_team
Stanford,D1,M,1,Rowan Schnebly,GK,Sr,74,"Portland, Ore.","Science, Technology & Society",
Stanford,D1,M,3,Palmer Bank,D,Sr,72,"Bakersfield, Calif.","Science, Technology & Society",
Stanford,D1,M,6,Dylan Groeneveld,M,Sr,73,"Coronado, Calif.",Undeclared,
Stanford,D1,M,16,Joshua Partal,M,So,74,"Bangor, Maine",Undeclared,
Stanford,D1,M,18,Jack Pymm,M,So,72,"Stamford, Conn.",Undeclared,
Stanford,D1,M,19,Tim Logan,M,So,69,"Florham Park, N.J.",Undeclared,
Stanford,D1,M,20,Alex Chow,M,Jr,66,"Palo Alto, Calif.",Undeclared,
Stanford,D1,M,21,Dillon Logan,F,So,70,"Alexandria, Va.",Undeclared,
Stanford,D1,M,22,Jude Stone,M,So,70,"Santa Rosa, Calif.",Undeclared,
Stanford,D1,M,23,Victor Fung,D,So,71,"Weston, Fla.",Undeclared,
Stanford,D1,M,24,Aidan Reilly,D,So,74,"Weymouth, Mass.",Undeclared,
Stanford,D1,M,25,Joe Moyer,F,So,72,"Yorba Linda, Calif.",Undeclared,
Stanford,D1,M,26,Brad Bennett,M,So,70,"Bakersfield, Calif.",Undeclared,
Stanford,D1,M,27,Trevor Islam,M,Jr,69,"Mill Valley, Calif.",Physics,
Stanford,D1,M,28,Eric Frintu,F,So,72,"Redmond, Wash.",Undeclared,
Stanford,D1,M,30,Jordan Victor,GK,So,76,"Sacramento, Calif.",Undeclared,
Stanford,D1,M,32,Brayden Montague,GK,So,75,"Tampa, Fla.",Undeclared,
Stanford,D1,W,0,Rhiannon Stewart,GK,,,"London, England",Community Health and Prevention Research (MS),
Stanford,D1,W,1,Caroline Birkel,GK,So,71.0,"St. Louis, Mo.",Undeclared,
Stanford,D1,W,2,London Young,D,Fr,,"McKinney, Texas",Undeclared,
Stanford,D1,W,3,Peyton Marinos,F,Fr,67.0,"Irvine, Calif.",Undeclared,
Stanford,D1,W,5,Ella Kral,F,Fr,68.0,"Berkeley, Calif.",Undeclared,
Stanford,D1,W,6,Sophie Murdock,D,Jr,69.0,"Los Altos, Calif.",Undeclared,
Stanford,D1,W,7,Lizzie Boamah,D,Jr,69.0,"San Diego, Calif.",Undeclared,
Stanford,D1,W,8,Mia Bhuta,M,Sr,65.0,"Pittsburgh, Pa.",Symbolic Systems / Management Science & Engineering (MS),
Stanford,D1,W,9,Jaden Thomas,F,Jr,66.0,"Dallas, Texas",Undeclared,
Stanford,D1,W,10,Charlotte Kohler,M,Jr,64.0,"Woodside, Calif.",Undeclared,
Stanford,D1,W,11,Eleanor Klinger,M,Jr,67.0,"Cleveland, Ohio",Undeclared,
Stanford,D1,W,12,Bella Winn,F,Jr,69.0,"Ridgewood, N.J.",Political Science,
Stanford,D1,W,13,Sammy Smith,D,Jr,66.0,"Boise, Idaho",Undeclared,
Stanford,D1,W,14,Alex Tay,D,So,69.0,"Bellevue, Wash.",Undeclared,
Stanford,D1,W,15,Ella Emri,D,Jr,69.0,"San Diego, Calif.",Undeclared,
Stanford,D1,W,16,Milly Bray,M,So,65.0,"Bainbridge Island, Wash.",Undeclared,
Stanford,D1,W,17,Erica Grilione,F,Sr,64.0,"Roseville, Calif.",Human Biology,
Stanford,D1,W,18,Y-Lan Nguyen,M,So,63.0,"Fairfax, Va.",Undeclared,
Stanford,D1,W,20,Kennedy Kelly,D,Fr,68.0,"Dallas, Ga.",Undeclared,
Stanford,D1,W,22,Kaiya Jota,GK,Jr,70.0,"Pasadena, Calif.",Undeclared,
Stanford,D1,W,23,Lily Freer,M,So,68.0,"Alton, Ill.",Undeclared,
Stanford,D1,W,24,Sadie Leal-Schuman,D,Fr,64.0,"Orinda, Calif.",Undeclared,
Stanford,D1,W,25,Noe Johnson,M,So,71.0,"Oakland, Calif.",Undeclared,
Stanford,D1,W,26,Ava Harrison,F,So,62.0,"San Diego, Calif.",Undeclared,
Stanford,D1,W,27,Brooke Holden,M,So,66.0,"Alpine, Calif.",Undeclared,
